method,t,median,q1,q3,coverage
imode,300.0000000000001,15.063091482649842,6.080540160112607,22.539688232979657,1.0
lshade,0.01,44.01069518716578,32.657657657657666,58.00180831826401,0.9701492537313433
lshade,0.01190922255039211,42.586750788643535,32.313575525812624,56.6003616636528,0.9701492537313433
lshade,0.014182958175476787,42.631578947368425,31.925675675675674,55.56057866184448,0.9701492537313433
lshade,0.016890800533465627,42.18019255459002,30.828156785818077,54.60780303682654,0.9850746268656716
lshade,0.020115630260732383,41.133029621220466,29.699288796444627,53.455000143517324,0.9850746268656716
lshade,0.0239561517516464,40.41732440348822,28.692902343805056,52.426617461242216,0.9850746268656716
lshade,0.028529914266132276,39.97307763145512,28.28523811537215,52.426617461242216,0.9850746268656716
lshade,0.03397690983389759,39.55743757552929,27.919119917234955,51.85669456066945,0.9850746268656716
lshade,0.04046385807864926,39.33642681141386,27.387958444147138,51.73029986052999,0.9850746268656716
lshade,0.04818930911061157,38.95175778943639,26.55911051282271,50.33776411540906,0.9850746268656716
lshade,0.05738972067479109,38.26157595450853,26.660821922506408,49.46477196178332,1.0
lshade,0.06834669556209264,37.84420289855072,26.13905525212426,49.23801459216881,1.0
lshade,0.0813956008032858,37.28260869565217,25.978048604079273,48.641827721325626,1.0
lshade,0.09693583245892048,36.627906976744185,25.467909890011825,48.14330543933055,1.0
lshade,0.11544304018608072,36.04651162790697,25.15623018054205,47.27161785216178,1.0
lshade,0.13748368574698944,35.79638752052546,24.64438056164148,46.53940027894003,1.0
lshade,0.16373238106090687,35.41835905767668,23.593960546952662,45.79846582984658,1.0
lshade,0.19499253647599463,34.89033306255077,22.50560538116592,45.51080892608089,1.0
lshade,0.232220951255807,34.6571906354515,22.253363228699552,44.67422206984695,1.0
lshade,0.2765570989369163,34.277504105090316,21.737625531841594,44.02614129851714,1.0
lshade,0.3293580039130544,33.83428107229895,21.28761392964014,43.111889107107274,1.0
lshade,0.39223977673534804,33.428107229894394,20.92650385811821,42.53684807256236,1.0
lshade,0.46712707942573733,32.65050167224081,20.56152284571567,41.709982833365295,1.0
lshade,0.5563120348195794,32.02341137123746,19.99921726659395,40.933633357010606,1.0
lshade,0.6625243830127855,31.02006688963211,19.18492202965297,40.678684346812645,1.0
lshade,0.7890150322360485,30.056864337936638,18.678670262190444,40.483723339014205,1.0
lshade,0.9396555614503901,29.731925264013,17.39700537447319,40.01994580163465,1.0
lshade,1.1190567202026338,29.306020066889634,16.5550691200214,39.12390836707028,1.0
lshade,1.3327095527405048,28.878960194963444,16.351013030197578,38.18012541846232,1.0
lshade,1.5871534658620194,28.18181818181818,15.784973298650904,37.663392725074736,1.0
lshade,1.8901763846576944,27.957413249211356,15.013380727201563,37.23739943649431,1.0
lshade,2.251053122438406,26.684491978609625,14.596268211474431,36.643757231192616,1.0
lshade,2.6808292607874016,26.268412438625205,14.180676110009815,36.01525331228436,1.0
lshade,3.192659228632032,26.149732620320854,13.71689697646221,35.596068678364475,1.0
lshade,3.802208928134209,25.882352941176475,13.457352201987396,34.078058190083524,1.0
lshade,4.528135230823811,25.0,12.336698337292162,33.74684009223195,1.0
lshade,5.3926570202151884,24.83633387888707,11.968423285870298,33.043433053088144,1.0
lshade,6.422235259167707,24.171924290220822,10.980358565890427,32.57857889687732,1.0
lshade,7.648382897240333,22.87701317715959,10.348060556286384,32.45035373079092,1.0
lshade,9.108629407384788,22.87701317715959,9.863140824217378,32.13134029656617,1.0
lshade,10.847669474159156,22.058823529411764,9.55826507547732,32.085664291694066,1.0
lshade,12.91873099208564,21.813725490196077,9.11424075702626,31.641412533689863,1.0
lshade,15.385204245339567,20.588235294117645,8.844782725614321,30.742131958150296,1.0
lshade,18.322582134098628,19.02485659655832,8.509261527646114,29.94516242175696,1.0
lshade,21.82077083328191,18.738049713193117,7.83637809063905,29.64894057126412,1.0
lshade,25.98684160746592,18.49904397705545,7.403963558662994,29.31213576516296,1.0
lshade,30.948308008510093,18.21223709369025,6.980198559498804,28.20554182649567,1.0
lshade,36.85702876314293,17.63862332695985,6.868090936180419,28.007764253088048,1.0
lshade,43.89385580864722,17.01720841300191,6.445872643494951,27.220966397332305,1.0
lshade,52.27416974200008,16.156787762906312,6.028850888864745,26.876172607879926,1.0
lshade,62.25447210944526,15.917782026768643,5.841116220529326,26.37780576175327,1.0
lshade,74.14023631085618,14.961759082217974,5.697087537550461,26.04232944503358,1.0
