a,b,p_raw,rank_biserial,n_effective,median_difference,p_holm,significant
greedy,abc,5.326143655378102e-10,0.8726953467954346,67,13.517179023508142,3.3554705028882044e-08,True
greedy,lshade,2.4047977149263343e-12,0.9850746268656716,67,20.78559738134206,3.102189052254971e-10,True
greedy,imode,9.838616947828568e-12,0.9569798068481123,67,20.298372513562388,1.0625706303654853e-09,True
greedy,cmaes,1.1197003099219983e-12,1.0,67,24.045491470349305,1.5227924214939177e-10,True
greedy,gwo,8.568554932052067e-11,0.9122036874451273,67,17.51652502360718,6.2550451003980094e-09,True
greedy,rime,1.2824351930211495e-12,0.9973661106233538,67,20.51860202931229,1.6799901028577058e-10,True
greedy,mde,1.6805571986744575e-12,0.9920983318700615,67,21.533923303834808,2.1847243582767947e-10,True
greedy,csa,7.91505609234169e-12,0.961369622475856,67,19.40298507462687,9.169095967426562e-10,True
tabu,sa,7.547498213151496e-11,-1.0,56,-4.069767441860464,5.585148677732107e-09,True
tabu,brkga,1.6295557943119345e-11,-1.0,60,-11.940298507462687,1.5315420812487663e-09,True
tabu,ga,2.2351356611315054e-10,-0.9661222020568663,57,-5.6716417910447765,1.4751895363467936e-08,True
tabu,de,5.1683948136322595e-12,-1.0,63,-14.337132573485302,6.56386141331297e-10,True
tabu,pso,1.1111647363502784e-11,-1.0,61,-15.220949263502456,1.177834620531295e-09,True
tabu,abc,7.577765262336002e-12,-1.0,62,-19.072657743785854,9.169095967426562e-10,True
tabu,lshade,1.6295557943119345e-11,-1.0,60,-9.414225941422595,1.5315420812487663e-09,True
tabu,imode,1.6295557943119345e-11,-1.0,60,-12.145110410094636,1.5315420812487663e-09,True
tabu,cmaes,2.935576933991171e-11,-0.9954802259887006,59,-6.26865671641791,2.3778173165328485e-09,True
tabu,gwo,1.1111647363502784e-11,-1.0,61,-15.299684542586748,1.177834620531295e-09,True
tabu,rime,1.6295557943119345e-11,-1.0,60,-8.089260808926081,1.5315420812487663e-09,True
tabu,mde,1.0801060403046376e-09,-0.9205143191116306,58,-4.672245467224547,6.58864684585829e-08,True
tabu,csa,1.6293000864348577e-11,-1.0,60,-11.227336122733613,1.5315420812487663e-09,True
sa,brkga,1.9577471931334515e-08,-0.8406779661016949,59,-7.567715959004392,9.984510684980603e-07,True
sa,ga,0.00285041291675422,-0.4543254688445251,57,-1.8181818181818181,0.05832287835436081,False
sa,de,1.410082787768285e-10,-0.9295634920634921,63,-9.225874867444325,9.729571235601166e-09,True
sa,pso,1.833054064559891e-10,-0.9386567953463776,61,-8.912884333821378,1.246476763900726e-08,True
sa,abc,1.1751501547498195e-11,-0.9907834101382489,62,-10.526315789473685,1.177834620531295e-09,True
sa,lshade,8.361160769460665e-06,-0.6727060198714202,58,-3.846153846153843,0.0002759183053922019,True
sa,imode,1.7169918865409302e-08,-0.8440677966101695,59,-7.194244604316548,8.928357810012837e-07,True
sa,cmaes,0.0004385061278516731,-0.5353901996370236,57,-2.1346469622331687,0.010962653196291828,True
sa,gwo,7.198793899418943e-09,-0.8590163934426229,60,-8.144216691068817,4.031324583674608e-07,True
sa,rime,3.5296478917583985e-05,-0.6192090395480226,59,-1.823338735818477,0.0011294873253626875,True
sa,mde,0.0024098635143330886,-0.46616541353383456,56,-0.5630630630630633,0.05301699731532795,False
sa,csa,4.79097739276663e-07,-0.7536723163841808,59,-4.31654676258993,2.1080300528173173e-05,True
brkga,ga,1.833054064559891e-10,0.9386567953463776,61,3.6842105263157894,1.246476763900726e-08,True
brkga,de,2.870270673692854e-06,-0.6835637480798771,62,-1.1471321695760608,0.00010332974425294275,True
brkga,pso,2.696240623562287e-11,-0.9890710382513661,60,-2.7254707631318134,2.210917311321075e-09,True
brkga,abc,7.577765262336002e-12,-1.0,62,-5.697151424287853,9.169095967426562e-10,True
brkga,lshade,2.057664085884332e-06,0.7107344632768362,59,1.5475313190862217,7.819123526360462e-05,True
brkga,imode,0.17909727235433848,0.20112994350282487,59,0.06257822277847325,1.0,False
brkga,cmaes,3.561946475413102e-10,0.9311475409836065,60,5.375,2.2796457442643852e-08,True
brkga,gwo,1.978622583245805e-06,-0.7060109289617487,60,-2.0110410094637174,7.716628074658639e-05,True
brkga,rime,0.0003666185303362848,0.5289617486338798,60,1.4570007107320535,0.009575401599850153,True
